category,stockNo,stockName,lastPrice,revenue,revenueGrowthYOY,operatingProfit,operatingProfitMargin,netProfit,netProfitMargin,EPS,EPSGrowthYOYPercent,yrEnd
Consumer Electronics,00040.HK,GOLD PEAK,0.670,6.71B,10.000%,46.51M,0.693%,121.86M,1.817%,0.155,474.074%,2021/03
Consumer Electronics,00164.HK,CHINA BAOLI TEC,0.057,49.30M,10.000%,-323.23M,-655.610%,-114.09M,-231.408%,-0.031,91.513%,2020/03
Consumer Electronics,00167.HK,IDT INT'L,0.049,55.40M,-79.000%,-95.80M,-172.924%,-95.80M,-172.924%,-0.037,-15.000%,2020/12
Consumer Electronics,00176.HK,SUPERACTIVE GP,0.152,101.13M,-45.000%,-104.62M,-103.453%,-108.26M,-107.048%,-0.053,-14.871%,2020/12
Consumer Electronics,00186.HK,NIMBLE HOLDINGS,0.800,200.00M,-16.000%,-65.00M,-32.500%,-86.00M,-43.000%,-0.016,0.633%,2021/03
Consumer Electronics,00213.HK,NATIONAL ELEC H,1.120,1.44B,114.000%,89.60M,6.210%,116.26M,8.058%,0.118,-1.667%,2021/03
Biotechnology,00013.HK,HUTCHMED,64.450,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Consumer Electronics,00248.HK,HKC INT'L HOLD,0.111,217.12M,-6.000%,4.52M,2.079%,4.75M,2.186%,0.004,N/A,2021/03
Consumer Electronics,00303.HK,VTECH HOLDINGS,80.550,18.44B,9.000%,2.07B,11.221%,1.80B,9.733%,7.122,21.316%,2021/03
Consumer Electronics,00320.HK,COMPUTIME,0.740,3.60B,10.000%,99.65M,2.771%,81.39M,2.263%,0.097,639.695%,2021/03
Consumer Electronics,00328.HK,ALCO HOLDINGS,0.236,1.28B,33.000%,-360.64M,-28.204%,-360.46M,-28.190%,-0.498,39.928%,2021/03
Consumer Electronics,00370.HK,CHINA BEST,0.235,1.18B,226.000%,-11.41M,-0.965%,-42.58M,-3.601%,-0.042,N/A,2021/03
Biotechnology,00399.HK,INNOVATIVE PHAR,0.247,15.19M,4.000%,-212.16M,"-1,396.767%",-204.94M,"-1,349.259%",-0.140,2.913%,2021/03
Biotechnology,00690.HK,UNI-BIO GROUP,0.103,208.78M,N/A,-60.05M,-28.763%,-71.32M,-34.161%,-0.011,N/A,2020/12
Biotechnology,01167.HK,JACOBIO-B,21.250,579.60M,N/A,213.48M,36.832%,-1.80B,-311.268%,-4.732,N/A,2020/12
