category,stockNo,stockName,lastPrice,currentRatio,quickRatio,ROA,ROE,grossProfitMargin,netProgitMargin,payout,debtEquityRatio,yrEnd
Consumer Electronics,00040.HK,GOLD PEAK,0.670,0.86,0.61,1.39%,7.62%,26.75%,1.82%,N/A,253.10%,2021/03
Consumer Electronics,00164.HK,CHINA BAOLI TEC,0.057,0.08,0.08,-66.04%,27.25%,13.52%,-231.41%,N/A,-80.16%,2020/03
Consumer Electronics,00167.HK,IDT INT'L,0.049,0.16,0.13,-104.47%,43.27%,10.11%,-172.92%,N/A,-100.68%,2020/12
Consumer Electronics,00176.HK,SUPERACTIVE GP,0.152,1.73,0.64,-7.95%,-19.77%,41.80%,-107.05%,N/A,91.20%,2020/12
Consumer Electronics,00186.HK,NIMBLE HOLDINGS,0.800,1.83,0.18,-1.34%,-22.99%,16.00%,-43.00%,N/A,"1,063.10%",2021/03
Cosmetics & Personal Care,00157.HK,NATURAL BEAUTY,0.690,1.96,1.45,0.93%,1.27%,58.54%,1.89%,0.77%,12.27%,2020/12
Consumer Electronics,00213.HK,NATIONAL ELEC H,1.120,1.73,1.11,1.58%,4.55%,11.13%,8.06%,29.66%,161.96%,2021/03
Consumer Electronics,00248.HK,HKC INT'L HOLD,0.111,1.06,0.82,1.21%,1.69%,18.30%,2.19%,N/A,31.52%,2021/03
Consumer Electronics,00303.HK,VTECH HOLDINGS,80.550,2.07,1.27,15.97%,31.58%,30.63%,9.73%,99.34%,28.19%,2021/03
Consumer Electronics,00320.HK,COMPUTIME,0.740,1.78,1.05,3.27%,5.82%,12.95%,2.26%,61.40%,11.44%,2021/03
Consumer Electronics,00328.HK,ALCO HOLDINGS,0.236,1.44,0.62,-26.44%,-108.96%,-4.87%,-28.19%,N/A,187.83%,2021/03
Cosmetics & Personal Care,00178.HK,SA SA INT'L,2.100,1.86,0.96,-13.99%,-26.42%,34.57%,-11.55%,N/A,48.80%,2021/03
Cosmetics & Personal Care,00653.HK,BONJOUR HOLD,0.249,0.85,0.72,-24.89%,-148.54%,32.13%,-47.46%,N/A,371.34%,2020/12
Cosmetics & Personal Care,00919.HK,MODERNHEALTHTEC,0.285,1.45,1.42,18.79%,43.45%,100.00%,29.14%,N/A,39.77%,2021/03
Cosmetics & Personal Care,00973.HK,L'OCCITANE,30.100,0.91,0.69,6.19%,12.88%,83.05%,10.05%,N/A,68.06%,2021/03
Cosmetics & Personal Care,01044.HK,HENGAN INT'L,52.900,1.36,1.16,10.34%,23.67%,42.26%,20.54%,64.70%,107.44%,2020/12
Consumer Electronics,00370.HK,CHINA BEST,0.235,1.53,1.53,-2.05%,-3.87%,13.51%,-3.60%,N/A,26.50%,2021/03
Consumer Electronics,00439.HK,KUANGCHI,0.233,0.74,0.71,-2.76%,-4.04%,38.78%,-78.76%,N/A,25.69%,2020/12
Consumer Electronics,00482.HK,SANDMARTIN-NEW,0.415,0.66,0.45,-1.40%,-87.26%,13.77%,-1.46%,N/A,"2,919.00%",2020/12
Consumer Electronics,00485.HK,CHINASINOSTAR,0.285,4.27,0.77,-3.93%,-4.93%,30.61%,-52.22%,N/A,11.25%,2021/03
Consumer Electronics,00912.HK,SUGA INT'L,2.150,1.68,1.02,5.98%,9.90%,13.64%,3.77%,60.80%,18.49%,2021/03
Cosmetics & Personal Care,01161.HK,WATER OASIS GP,1.480,0.67,0.62,2.32%,12.81%,100.00%,5.22%,146.34%,94.73%,2020/09
Cosmetics & Personal Care,01173.HK,VEEKO INT'L,0.070,0.54,0.19,-22.77%,-94.13%,37.87%,-35.74%,N/A,277.38%,2021/03
Cosmetics & Personal Care,01178.HK,HUIYIN HLDGS GP,0.119,4.37,4.23,-20.62%,-24.57%,36.21%,-101.41%,N/A,N/A,2019/06
Cosmetics & Personal Care,01259.HK,PROSPER FUTURE,0.082,1.56,1.49,-2.37%,-4.98%,21.70%,-2.89%,N/A,26.32%,2020/12
Cosmetics & Personal Care,01338.HK,BAWANG GROUP,0.105,1.60,1.35,-1.53%,-2.61%,39.17%,-1.46%,N/A,7.42%,2020/12
Consumer Electronics,00927.HK,FUJIKON IND,0.900,3.99,3.28,1.10%,1.55%,19.42%,1.15%,N/A,2.07%,2021/03
Consumer Electronics,01070.HK,TCL ELECTRONICS,4.480,1.22,0.93,6.88%,22.27%,18.96%,7.06%,13.73%,35.84%,2020/12
Consumer Electronics,01123.HK,CHINA-HK PHOTO,0.188,2.97,2.29,3.86%,5.22%,21.18%,3.67%,35.21%,10.72%,2021/03
Consumer Electronics,01143.HK,LINKASIA MEDTEC,0.265,1.55,1.27,-26.32%,-58.57%,26.00%,-29.08%,N/A,23.76%,2020/12
Consumer Electronics,01747.HK,HOME CONTROL,0.790,1.39,1.08,4.64%,19.17%,20.28%,2.78%,50.00%,145.74%,2020/12
Cosmetics & Personal Care,01827.HK,MIRICOR,1.300,1.43,1.36,-3.40%,-8.69%,100.00%,-9.82%,N/A,29.19%,2021/03
Cosmetics & Personal Care,01962.HK,EVERGREEN PG,0.780,1.14,0.57,-0.92%,-1.85%,17.15%,-1.82%,N/A,89.80%,2020/12
Cosmetics & Personal Care,02700.HK,GREEN INTL HLDG,0.485,2.42,2.27,-20.87%,-43.84%,56.07%,-90.45%,N/A,61.70%,2020/12
Cosmetics & Personal Care,03331.HK,VINDA INT'L,23.800,1.07,0.46,8.11%,16.06%,37.69%,11.35%,30.03%,42.29%,2020/12
Cosmetics & Personal Care,03828.HK,MING FAI INT'L,0.680,2.03,1.62,4.38%,6.40%,26.86%,5.84%,23.15%,10.62%,2020/12
Consumer Electronics,02038.HK,FIH,1.260,1.22,1.06,-2.88%,-8.38%,1.07%,-1.95%,N/A,45.93%,2020/12
Consumer Electronics,02358.HK,JIU RONG HOLD,0.099,0.77,0.70,0.86%,4.07%,17.44%,3.17%,N/A,118.16%,2020/12
Consumer Electronics,02662.HK,MH DEVELOPMENT,1.160,0.02,0.02,-156.56%,38.66%,11.30%,-720.86%,N/A,-9.11%,2020/06
Consumer Electronics,02935.HK,SANDMARTIN-OLD,0.350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Consumer Electronics,03882.HK,SKYLIGHT HLDG,0.205,1.58,0.90,-13.96%,-29.46%,13.97%,-14.65%,N/A,5.52%,2020/12
Forestry & Timber,00094.HK,GREENHEART GP,0.133,2.11,1.89,-1.43%,-1.81%,2.77%,-5.28%,N/A,44.67%,2020/12
