category,stockNo,stockName,lastPrice,change,changePercent,volumn,turnover,PE,PB,earningYield,marketCap
Cosmetics & Personal Care,00157.HK,NATURAL BEAUTY,0.690,-0.010,-1.429%,150.00K,104.50K,176.92,2.26,0.44%,1.38B
Cosmetics & Personal Care,00178.HK,SA SA INT'L,2.100,-0.120,-5.405%,21.09M,44.88M,No Profit,4.90,0.00%,6.52B
Cosmetics & Personal Care,00653.HK,BONJOUR HOLD,0.249,-0.016,-6.038%,25.33M,6.40M,No Profit,4.94,0.00%,849.73M
Cosmetics & Personal Care,00919.HK,MODERNHEALTHTEC,0.285,-0.010,-3.390%,2.22M,623.40K,2.05,0.89,0.00%,257.78M
Cosmetics & Personal Care,00973.HK,L'OCCITANE,30.100,+1.700,+5.986%,2.44M,72.38M,31.45,4.06,1.12%,44.46B
Cosmetics & Personal Care,01044.HK,HENGAN INT'L,52.900,+0.900,+1.731%,2.98M,157.19M,11.49,2.72,5.63%,62.29B
Cosmetics & Personal Care,01161.HK,WATER OASIS GP,1.480,+0.260,+21.311%,23.23M,31.34M,36.10,4.65,4.05%,1.01B
Cosmetics & Personal Care,01173.HK,VEEKO INT'L,0.070,0.000,0.000%,0.00,0.00,No Profit,0.90,0.00%,176.26M
Cosmetics & Personal Care,01178.HK,HUIYIN HLDGS GP,0.119,0.000,0.000%,0.00,0.00,No Profit,0.24,0.00%,35.42M
Cosmetics & Personal Care,01259.HK,PROSPER FUTURE,0.082,0.000,0.000%,0.00,0.00,No Profit,0.18,0.00%,156.79M
Cosmetics & Personal Care,01338.HK,BAWANG GROUP,0.105,-0.001,-0.943%,618.00K,63.90K,No Profit,1.80,0.00%,332.06M
Cosmetics & Personal Care,01827.HK,MIRICOR,1.300,0.000,0.000%,55.00K,71.50K,No Profit,3.57,0.00%,520.00M
Cosmetics & Personal Care,01962.HK,EVERGREEN PG,0.780,+0.030,+4.000%,1.74M,1.38M,No Profit,0.61,0.00%,535.14M
Cosmetics & Personal Care,02700.HK,GREEN INTL HLDG,0.485,+0.010,+2.105%,190.00K,91.00K,No Profit,2.37,0.00%,320.05M
Cosmetics & Personal Care,03331.HK,VINDA INT'L,23.800,-0.100,-0.418%,814.56K,19.31M,15.21,2.45,1.98%,28.57B
Cosmetics & Personal Care,03828.HK,MING FAI INT'L,0.680,-0.010,-1.449%,102.00K,69.36K,6.30,0.40,3.68%,499.30M
Cosmetics & Personal Care,06893.HK,HINSANG GROUP,0.360,+0.010,+2.857%,140.00K,50.43K,No Profit,1.24,0.00%,393.05M
Cosmetics & Personal Care,08176.HK,SUPERROBOTICS,0.650,0.000,0.000%,0.00,0.00,No Profit,N/A,0.00%,329.04M
Cosmetics & Personal Care,08200.HK,SAU SAN TONG,1.730,+0.040,+2.367%,45.00K,76.21K,No Profit,0.16,0.00%,129.84M
Cosmetics & Personal Care,08281.HK,CH GOLD CLASSIC,0.200,0.000,0.000%,0.00,0.00,9.22,0.71,0.00%,200.00M
Cosmetics & Personal Care,08436.HK,TAKBO GROUP,0.275,0.000,0.000%,0.00,0.00,5.98,0.49,0.00%,110.00M
Consumer Electronics,00040.HK,GOLD PEAK,0.670,-0.020,-2.899%,1.80M,1.21M,4.32,0.33,0.00%,525.74M
Cosmetics & Personal Care,08451.HK,SUNLIGHT HLDGS,0.055,-0.001,-1.786%,10.00K,550.00,19.43,0.50,0.00%,44.00M
Cosmetics & Personal Care,08473.HK,MI MING MART,0.280,+0.005,+1.818%,620.00K,170.55K,11.57,2.06,2.14%,313.60M
Cosmetics & Personal Care,08603.HK,FAMEGLOW,0.280,+0.045,+19.149%,70.00K,18.50K,No Profit,18.81,0.00%,224.00M
Consumer Electronics,00164.HK,CHINA BAOLI TEC,0.057,-0.002,-3.390%,40.57M,2.36M,No Profit,N/A,0.00%,212.13M
Consumer Electronics,00167.HK,IDT INT'L,0.049,0.000,0.000%,283.50K,13.48K,No Profit,N/A,0.00%,127.40M
Consumer Electronics,00176.HK,SUPERACTIVE GP,0.152,0.000,0.000%,0.00,0.00,No Profit,0.56,0.00%,308.95M
Consumer Electronics,00186.HK,NIMBLE HOLDINGS,0.800,+0.120,+17.647%,120.00K,95.10K,No Profit,11.01,0.00%,4.39B
Consumer Electronics,00213.HK,NATIONAL ELEC H,1.120,+0.010,+0.901%,127.00K,140.71K,9.49,0.43,3.13%,1.09B
Consumer Electronics,00248.HK,HKC INT'L HOLD,0.111,+0.011,+11.000%,4.00K,444.00,29.21,0.49,0.00%,138.23M
Consumer Electronics,00303.HK,VTECH HOLDINGS,80.550,-1.200,-1.468%,725.74K,58.54M,11.31,3.57,8.78%,20.33B
Consumer Electronics,00320.HK,COMPUTIME,0.740,0.000,0.000%,882.00K,638.36K,7.64,0.44,8.04%,621.41M
Consumer Electronics,00328.HK,ALCO HOLDINGS,0.236,-0.011,-4.453%,78.00K,18.46K,No Profit,0.52,0.00%,170.69M
Consumer Electronics,00370.HK,CHINA BEST,0.235,+0.011,+4.911%,1.17M,269.56K,No Profit,0.05,0.00%,358.44M
Consumer Electronics,00439.HK,KUANGCHI,0.233,-0.010,-4.115%,7.64M,1.79M,No Profit,0.74,0.00%,1.43B
Consumer Electronics,00482.HK,SANDMARTIN-NEW,0.415,+0.010,+2.469%,12.25M,4.97M,No Profit,9.51,0.00%,136.16M
Consumer Electronics,00485.HK,CHINASINOSTAR,0.285,0.000,0.000%,2.50K,650.00,No Profit,0.19,0.00%,60.66M
Consumer Electronics,00912.HK,SUGA INT'L,2.150,-0.030,-1.376%,374.00K,793.54K,7.69,0.76,7.91%,609.50M
