category,stockNo,stockName,lastPrice,year3,year1,month6,month3,month1,week1,YTD
Cosmetics & Personal Care,00157.HK,NATURAL BEAUTY,0.690,+15.00%,+6.15%,+6.15%,-1.43%,+1.47%,0.00%,+6.15%
Cosmetics & Personal Care,00178.HK,SA SA INT'L,2.100,-56.61%,+60.31%,+73.55%,+15.38%,+7.14%,+5.53%,+73.55%
Cosmetics & Personal Care,00653.HK,BONJOUR HOLD,0.249,-34.47%,+120.35%,+66.00%,+31.05%,-4.23%,+0.40%,+66.00%
Cosmetics & Personal Care,00919.HK,MODERNHEALTHTEC,0.285,+3.64%,+81.53%,+193.81%,+135.54%,-16.18%,-9.52%,+193.81%
Cosmetics & Personal Care,00973.HK,L'OCCITANE,30.100,+132.61%,+114.39%,+55.80%,+36.51%,+14.02%,+11.28%,+55.80%
Cosmetics & Personal Care,01044.HK,HENGAN INT'L,52.900,-29.93%,-13.35%,-3.64%,+3.93%,+2.82%,+0.76%,-3.64%
Cosmetics & Personal Care,01161.HK,WATER OASIS GP,1.480,+34.55%,+74.12%,+74.12%,+82.72%,-3.90%,+21.31%,+74.12%
Cosmetics & Personal Care,01173.HK,VEEKO INT'L,0.070,-65.00%,+55.56%,+20.69%,+40.00%,-12.50%,-1.41%,+20.69%
Cosmetics & Personal Care,01178.HK,HUIYIN HLDGS GP,0.119,-85.83%,-15.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cosmetics & Personal Care,01259.HK,PROSPER FUTURE,0.082,-46.75%,-3.53%,-3.53%,-1.20%,-4.65%,-2.38%,-3.53%
Cosmetics & Personal Care,01338.HK,BAWANG GROUP,0.105,-53.33%,+61.54%,-3.67%,-12.50%,-7.89%,-1.87%,-3.67%
Cosmetics & Personal Care,01827.HK,MIRICOR,1.300,-31.58%,+106.35%,+154.90%,+73.33%,+16.07%,0.00%,+154.90%
Cosmetics & Personal Care,01962.HK,EVERGREEN PG,0.780,-55.17%,-41.35%,-50.32%,-43.88%,-9.30%,+8.33%,-50.32%
Cosmetics & Personal Care,02700.HK,GREEN INTL HLDG,0.485,N/A,-41.21%,+38.57%,+31.08%,+15.48%,+6.59%,+38.57%
Cosmetics & Personal Care,03331.HK,VINDA INT'L,23.800,+74.74%,-21.71%,+12.53%,-9.68%,-5.37%,+1.49%,+12.53%
Cosmetics & Personal Care,03828.HK,MING FAI INT'L,0.680,-36.45%,-2.86%,-8.11%,-2.86%,0.00%,-2.86%,-8.11%
Cosmetics & Personal Care,06893.HK,HINSANG GROUP,0.360,-67.57%,-47.06%,-48.57%,-27.27%,-22.58%,-2.70%,-44.62%
Cosmetics & Personal Care,08176.HK,SUPERROBOTICS,0.650,-92.02%,-54.23%,-27.78%,-2.99%,0.00%,0.00%,-27.78%
Cosmetics & Personal Care,08200.HK,SAU SAN TONG,1.730,-45.94%,+239.22%,+69.61%,+17.69%,-23.79%,-1.70%,+69.61%
