category,stockNo,stockName,lastPrice,month1,month2,month3,week52
Cosmetics & Personal Care,00157.HK,NATURAL BEAUTY,0.690,0.600 - 0.720,0.600 - 0.770,0.600 - 0.770,0.600 - 1.520
Consumer Electronics,00040.HK,GOLD PEAK,0.670,0.630 - 0.710,0.630 - 0.750,0.630 - 0.760,0.500 - 0.760
Cosmetics & Personal Care,00178.HK,SA SA INT'L,2.100,1.870 - 2.290,1.710 - 2.290,1.710 - 2.290,1.060 - 2.290
Cosmetics & Personal Care,00653.HK,BONJOUR HOLD,0.249,0.242 - 0.280,0.183 - 0.385,0.183 - 0.385,0.111 - 0.385
Cosmetics & Personal Care,00919.HK,MODERNHEALTHTEC,0.285,0.280 - 0.390,0.172 - 0.390,0.115 - 0.390,0.081 - 0.390
Cosmetics & Personal Care,00973.HK,L'OCCITANE,30.100,25.600 - 31.150,22.000 - 31.150,21.300 - 31.150,12.140 - 31.150
Cosmetics & Personal Care,01044.HK,HENGAN INT'L,52.900,51.100 - 54.400,49.150 - 54.400,49.150 - 54.400,49.150 - 72.000
Cosmetics & Personal Care,01161.HK,WATER OASIS GP,1.480,1.080 - 1.810,0.800 - 1.810,0.720 - 1.810,0.720 - 1.810
Cosmetics & Personal Care,01173.HK,VEEKO INT'L,0.070,0.066 - 0.080,0.053 - 0.090,0.046 - 0.090,0.041 - 0.090
Consumer Electronics,00164.HK,CHINA BAOLI TEC,0.057,0.052 - 0.084,0.018 - 0.190,0.018 - 0.190,0.018 - 0.190
Consumer Electronics,00167.HK,IDT INT'L,0.049,0.045 - 0.062,0.042 - 0.078,0.038 - 0.078,0.024 - 0.120
Consumer Electronics,00176.HK,SUPERACTIVE GP,0.152,0.151 - 0.178,0.135 - 0.178,0.135 - 0.203,0.121 - 0.325
Consumer Electronics,00186.HK,NIMBLE HOLDINGS,0.800,0.500 - 0.720,0.500 - 0.720,0.485 - 0.720,0.320 - 0.950
Consumer Electronics,00213.HK,NATIONAL ELEC H,1.120,1.090 - 1.170,1.080 - 1.170,1.040 - 1.170,1.000 - 1.170
Consumer Electronics,00248.HK,HKC INT'L HOLD,0.111,0.091 - 0.118,0.090 - 0.118,0.088 - 0.118,0.050 - 0.123
Consumer Electronics,00303.HK,VTECH HOLDINGS,80.550,77.200 - 84.300,67.000 - 84.300,67.000 - 84.300,41.100 - 84.300
Cosmetics & Personal Care,01178.HK,HUIYIN HLDGS GP,0.119,0.119 - 0.119,0.119 - 0.119,0.119 - 0.119,0.103 - 0.240
Cosmetics & Personal Care,01259.HK,PROSPER FUTURE,0.082,0.075 - 0.110,0.070 - 0.110,0.069 - 0.110,0.069 - 0.200
Cosmetics & Personal Care,01338.HK,BAWANG GROUP,0.105,0.102 - 0.123,0.102 - 0.128,0.102 - 0.128,0.062 - 0.330
Cosmetics & Personal Care,01827.HK,MIRICOR,1.300,1.020 - 1.410,0.800 - 1.410,0.750 - 1.410,0.440 - 1.410
Cosmetics & Personal Care,01962.HK,EVERGREEN PG,0.780,0.670 - 0.860,0.670 - 1.100,0.670 - 1.390,0.670 - 1.820
Cosmetics & Personal Care,02700.HK,GREEN INTL HLDG,0.485,0.385 - 0.475,0.375 - 0.475,0.355 - 0.475,0.300 - 0.825
Cosmetics & Personal Care,03331.HK,VINDA INT'L,23.800,22.800 - 27.000,22.800 - 29.000,22.800 - 29.350,20.050 - 32.400
Consumer Electronics,00320.HK,COMPUTIME,0.740,0.600 - 0.870,0.380 - 0.870,0.380 - 0.870,0.280 - 0.870
Consumer Electronics,00328.HK,ALCO HOLDINGS,0.236,0.231 - 0.290,0.216 - 0.290,0.216 - 0.290,0.141 - 0.350
Consumer Electronics,00370.HK,CHINA BEST,0.235,0.190 - 0.375,0.190 - 0.802,0.190 - 0.802,0.190 - 0.802
Consumer Electronics,00439.HK,KUANGCHI,0.233,0.213 - 0.300,0.213 - 0.300,0.203 - 0.300,0.203 - 1.180
Consumer Electronics,00482.HK,SANDMARTIN-NEW,0.415,0.305 - 0.430,0.305 - 0.496,0.305 - 0.496,0.258 - 0.873
Consumer Electronics,00485.HK,CHINASINOSTAR,0.285,0.225 - 0.375,0.225 - 0.480,0.225 - 0.510,0.114 - 0.510
Consumer Electronics,00912.HK,SUGA INT'L,2.150,1.810 - 2.370,1.730 - 2.370,1.700 - 2.370,1.110 - 2.370
Cosmetics & Personal Care,03828.HK,MING FAI INT'L,0.680,0.660 - 0.710,0.650 - 0.800,0.650 - 0.800,0.600 - 0.860
Cosmetics & Personal Care,06893.HK,HINSANG GROUP,0.360,0.350 - 0.530,0.305 - 0.750,0.295 - 0.750,0.295 - 0.800
Cosmetics & Personal Care,08176.HK,SUPERROBOTICS,0.650,0.650 - 0.750,0.650 - 0.750,0.560 - 0.750,0.560 - 1.650
Cosmetics & Personal Care,08200.HK,SAU SAN TONG,1.730,1.580 - 2.380,1.280 - 2.380,1.130 - 2.380,0.480 - 2.380
Cosmetics & Personal Care,08281.HK,CH GOLD CLASSIC,0.200,0.200 - 0.200,0.138 - 0.200,0.133 - 0.200,0.100 - 0.340
Cosmetics & Personal Care,08436.HK,TAKBO GROUP,0.275,0.248 - 0.290,0.232 - 0.290,0.232 - 0.290,0.177 - 0.420
Cosmetics & Personal Care,08451.HK,SUNLIGHT HLDGS,0.055,0.052 - 0.060,0.052 - 0.062,0.051 - 0.062,0.045 - 0.076
Consumer Electronics,00927.HK,FUJIKON IND,0.900,0.820 - 0.950,0.820 - 0.950,0.820 - 1.090,0.750 - 1.130
Consumer Electronics,01070.HK,TCL ELECTRONICS,4.480,4.400 - 5.280,4.400 - 5.830,4.400 - 6.380,3.750 - 7.950
Consumer Electronics,01123.HK,CHINA-HK PHOTO,0.188,0.160 - 0.189,0.142 - 0.189,0.130 - 0.189,0.119 - 0.190
Consumer Electronics,01143.HK,LINKASIA MEDTEC,0.265,0.245 - 0.320,0.221 - 1.740,0.221 - 1.970,0.221 - 1.970
Consumer Electronics,01747.HK,HOME CONTROL,0.790,0.730 - 0.910,0.730 - 0.950,0.730 - 0.950,0.550 - 0.980
Consumer Electronics,02038.HK,FIH,1.260,1.180 - 1.310,0.980 - 1.310,0.980 - 1.310,0.770 - 1.480
Consumer Electronics,02358.HK,JIU RONG HOLD,0.099,0.101 - 0.113,0.100 - 0.113,0.099 - 0.114,0.090 - 0.145
Cosmetics & Personal Care,08473.HK,MI MING MART,0.280,0.265 - 0.305,0.255 - 0.490,0.255 - 0.490,0.125 - 0.600
Cosmetics & Personal Care,08603.HK,FAMEGLOW,0.280,0.170 - 0.235,0.170 - 0.235,0.170 - 0.350,0.095 - 0.475
Consumer Electronics,02662.HK,MH DEVELOPMENT,1.160,0.500 - 1.380,0.870 - 1.380,0.870 - 1.380,N/A
Consumer Electronics,02935.HK,SANDMARTIN-OLD,0.350,0.305 - 0.500,0.305 - 0.500,0.305 - 0.500,0.258 - 0.873
Consumer Electronics,03882.HK,SKYLIGHT HLDG,0.205,0.172 - 0.236,0.170 - 0.236,0.150 - 0.236,0.149 - 0.290
Consumer Electronics,06969.HK,SMOORE INTL,42.100,39.500 - 56.800,39.500 - 62.300,39.500 - 62.300,25.050 - 90.000
Consumer Electronics,08005.HK,YUXING INFOTECH,0.425,0.405 - 0.570,0.405 - 0.690,0.405 - 0.690,0.181 - 0.690
Consumer Electronics,08136.HK,IMS GROUP,0.090,0.055 - 0.097,0.053 - 0.097,0.042 - 0.097,0.042 - 0.097
Consumer Electronics,08147.HK,MILLENNIUM PG,0.050,0.061 - 0.150,0.061 - 0.150,0.061 - 0.150,0.036 - 0.150
Forestry & Timber,00094.HK,GREENHEART GP,0.133,0.118 - 0.145,0.118 - 0.200,0.118 - 0.200,0.076 - 0.200
Forestry & Timber,00723.HK,RELIANCE GLO HL,0.037,0.030 - 0.056,0.030 - 0.064,0.030 - 0.064,0.030 - 0.064
Forestry & Timber,01069.HK,BOZZA DEVELOP,0.011,0.010 - 0.013,0.010 - 0.017,0.010 - 0.017,0.010 - 0.026
Forestry & Timber,01580.HK,DA SEN HLDGS,0.115,0.110 - 0.145,0.110 - 0.170,0.110 - 0.170,0.110 - 0.425
Forestry & Timber,01822.HK,CHINA WOOD INT,0.051,0.045 - 0.055,0.043 - 0.060,0.043 - 0.096,0.043 - 0.330
Forestry & Timber,01885.HK,CH WOOD OPT,0.900,0.800 - 1.450,0.800 - 1.280,0.800 - 1.450,0.800 - 2.020
Forestry & Timber,08186.HK,M-RESOURCES,0.900,0.900 - 0.900,0.900 - 0.900,0.900 - 0.900,0.255 - 1.120
Forestry & Timber,08191.HK,HONG WEI ASIA,0.100,0.091 - 0.147,0.091 - 0.194,0.091 - 0.340,0.087 - 0.340
Water Supply,00270.HK,GUANGDONG INV,11.040,11.060 - 12.100,11.060 - 12.100,11.060 - 12.680,11.000 - 14.680
Gas Supply,00003.HK,HK & CHINA GAS,12.020,11.700 - 12.695,11.552 - 12.829,11.305 - 12.829,9.914 - 12.829
Water Supply,00371.HK,BJ ENT WATER,2.960,2.880 - 3.150,2.880 - 3.170,2.880 - 3.170,2.880 - 3.490
Water Supply,00646.HK,CHINA ENV TEC,0.027,0.023 - 0.037,0.014 - 0.060,0.014 - 0.060,0.013 - 0.060
Water Supply,00855.HK,CHINA WATER,6.090,5.780 - 6.080,5.780 - 6.500,5.780 - 6.500,5.500 - 6.930
Water Supply,00967.HK,SOUND GLOBAL,2.980,2.850 - 3.050,2.850 - 3.120,2.850 - 3.050,N/A
Water Supply,01026.HK,UNIVERSAL TECH,0.325,0.260 - 0.330,0.260 - 0.365,0.220 - 0.365,0.102 - 0.395
Water Supply,01065.HK,TIANJIN CAPITAL,3.340,2.970 - 3.490,2.850 - 3.490,2.850 - 3.490,2.310 - 3.900
Water Supply,01129.HK,WATER INDUSTRY,0.335,0.285 - 0.380,0.250 - 0.380,0.250 - 0.380,0.210 - 0.380
Gas Supply,00135.HK,KUNLUN ENERGY,7.140,6.200 - 7.400,5.426 - 7.400,5.316 - 7.400,2.026 - 7.400
Gas Supply,00384.HK,CHINA GAS HOLD,23.650,23.300 - 29.950,23.300 - 29.950,23.300 - 35.000,20.500 - 35.000
Gas Supply,00392.HK,BEIJING ENT,27.000,27.000 - 29.250,25.100 - 29.250,25.100 - 29.250,23.100 - 30.800
Gas Supply,00603.HK,CHINA OIL & GAS,0.415,0.395 - 0.425,0.395 - 0.435,0.395 - 0.440,0.225 - 0.470
Gas Supply,00681.HK,CHI PEOPLE HOLD,0.055,0.048 - 0.060,0.048 - 0.074,0.048 - 0.074,0.035 - 0.092
Gas Supply,00956.HK,CHINA SUNTIEN,3.770,3.060 - 4.080,2.810 - 4.080,2.800 - 4.080,1.750 - 4.080
Gas Supply,01083.HK,TOWNGAS CHINA,5.700,4.970 - 5.820,3.730 - 5.820,3.730 - 5.820,3.150 - 5.820
Gas Supply,01193.HK,CHINA RES GAS,46.200,46.200 - 52.250,41.850 - 52.250,40.500 - 52.250,32.100 - 52.250
Water Supply,01363.HK,CTEG,0.340,0.335 - 0.345,0.335 - 0.345,0.335 - 0.345,N/A
Water Supply,01395.HK,ELL ENV,0.122,0.106 - 0.136,0.102 - 0.136,0.102 - 0.140,0.076 - 0.650
Water Supply,01542.HK,TAIZHOU WATER,3.000,2.870 - 3.100,2.870 - 3.290,2.870 - 3.290,2.770 - 3.980
